frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
0;0.010000;10;2.463142e-01;0
1;0.020000;20;4.766670e-01;3.487156e-03
2;0.030000;30;6.949341e-01;3.487156e-03
3;0.040000;40;6.585414e-01;6.974312e-03
4;0.050000;0;6.306553e-01;1.022846e-02
5;0.060000;0;6.217883e-01;4.536267e-02
6;0.070000;0;6.331181e-01;5.617053e-02
7;0.080000;0;6.627340e-01;9.308620e-02
8;0.090000;0;6.875208e-01;1.000378e-01
9;0.100000;0;6.854403e-01;1.192829e-01
10;0.110000;0;6.678948e-01;9.939276e-02
11;0.120000;0;6.593028e-01;7.501319e-02
12;0.130000;0;6.670729e-01;5.953108e-02
13;0.140000;0;6.823358e-01;3.806493e-02
14;0.150000;0;6.824362e-01;5.029877e-02
15;0.160000;0;6.886424e-01;5.934585e-02
16;0.170000;0;6.894518e-01;9.150225e-02
17;0.180000;0;6.855879e-01;9.736492e-02
18;0.190000;0;6.571666e-01;8.495946e-02
19;0.200000;0;6.497450e-01;6.396428e-02
20;0.210000;0;6.446797e-01;7.722515e-02
21;0.220000;0;6.717307e-01;6.926681e-02
22;0.230000;0;6.686534e-01;5.810560e-02
23;0.240000;0;6.808859e-01;2.025003e-02
24;0.250000;0;6.748217e-01;2.519047e-02
25;0.260000;0;6.677661e-01;6.170906e-02
26;0.270000;0;6.535342e-01;9.278533e-02
27;0.280000;0;6.488546e-01;1.283497e-01
28;0.290000;0;6.563939e-01;1.121134e-01
29;0.300000;0;6.527908e-01;1.002654e-01
30;0.310000;0;6.433336e-01;7.072553e-02
31;0.320000;0;6.407269e-01;7.305516e-02
32;0.330000;0;6.500940e-01;5.231697e-02
33;0.340000;0;6.538511e-01;4.376986e-02
34;0.350000;0;6.551928e-01;2.330487e-02
35;0.360000;0;6.658690e-01;2.528847e-02
36;0.370000;0;6.692665e-01;1.961652e-02
37;0.380000;0;6.659121e-01;2.863079e-02
38;0.390000;0;6.642102e-01;2.998121e-02
39;0.400000;0;6.738142e-01;3.253681e-02
40;0.410000;0;6.822662e-01;2.767296e-02
41;0.420000;0;6.759676e-01;3.692129e-02
42;0.430000;0;6.626490e-01;4.302151e-02
43;0.440000;0;6.591693e-01;4.656647e-02
44;0.450000;0;6.538380e-01;3.398412e-02
45;0.460000;0;6.626482e-01;2.532829e-02
46;0.470000;0;6.823931e-01;2.057987e-02
47;0.480000;0;6.846567e-01;2.675319e-02
48;0.490000;0;6.813635e-01;4.167135e-02
49;0.500000;0;6.437173e-01;4.730897e-02
50;0.510000;0;6.436538e-01;5.690996e-02
51;0.520000;0;6.297792e-01;5.512619e-02
52;0.530000;0;6.238115e-01;5.555589e-02
53;0.540000;0;6.154267e-01;3.868145e-02
54;0.550000;0;6.230041e-01;3.121901e-02
55;0.560000;0;6.373824e-01;2.515170e-02
56;0.570000;0;6.406395e-01;2.515170e-02
57;0.580000;0;6.485098e-01;2.621050e-02
58;0.590000;0;6.670989e-01;2.485870e-02
59;0.600000;0;6.556175e-01;3.396690e-02
60;0.610000;0;6.307803e-01;3.114355e-02
61;0.620000;0;6.063834e-01;3.856266e-02
62;0.630000;0;6.111104e-01;5.153889e-02
63;0.640000;0;6.325694e-01;5.486494e-02
64;0.650000;0;6.529543e-01;5.802462e-02
65;0.660000;0;6.550487e-01;3.262770e-02
66;0.670000;0;6.383379e-01;2.991848e-02
67;0.680000;0;6.307486e-01;1.858246e-02
68;0.690000;0;6.366119e-01;4.752629e-02
69;0.700000;0;6.409783e-01;5.991929e-02
70;0.710000;0;6.341821e-01;6.631551e-02
71;0.720000;0;6.355439e-01;4.009752e-02
72;0.730000;0;6.408973e-01;3.556461e-02
73;0.740000;0;6.575291e-01;3.776548e-02
74;0.750000;0;6.797676e-01;4.234691e-02
75;0.760000;0;6.798645e-01;3.321674e-02
76;0.770000;0;6.769183e-01;3.558352e-02
77;0.780000;0;6.706151e-01;3.038527e-02
78;0.790000;0;6.783216e-01;3.165534e-02
79;0.800000;0;6.716880e-01;3.275565e-02
80;0.810000;0;6.540312e-01;4.045807e-02
81;0.820000;0;6.570373e-01;4.214484e-02
82;0.830000;0;6.498740e-01;4.454821e-02
83;0.840000;0;6.518686e-01;3.861035e-02
84;0.850000;0;6.473137e-01;4.590043e-02
